# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	9.958798e-10	2.9629485e-10	0.9795359	-2.0725771e-17	0.26627198
2.518980788605745e-12	4.156358e-09	-2.5020452e-09	0.97340196	-2.0700794e-17	0.2462989
5.046316807506081e-12	1.0748918e-08	-2.3374371e-09	0.9680341	-2.0651917e-17	0.23648122
7.520215468779094e-12	1.7843533e-08	3.753068e-09	0.96414214	-2.0585045e-17	0.2323606
1.0042615636410714e-11	2.118508e-08	1.698757e-08	0.9621765	-2.0502628e-17	0.22994913
1.2514547310054238e-11	1.6888805e-08	3.1670627e-08	0.9624672	-2.0412854e-17	0.22985497
1.503516205887988e-11	3.1604783e-09	4.3917478e-08	0.96491367	-2.0313814e-17	0.22975606
1.7505775736747402e-11	-1.7810612e-08	4.7604704e-08	0.9690285	-2.0206606e-17	0.2296791
2.0025401857369783e-11	-4.408209e-08	4.0427786e-08	0.9741299	-2.0078708e-17	0.23145838
2.2544744266302228e-11	-7.097908e-08	1.6065764e-08	0.97818065	-1.9917834e-17	0.23417409
2.5014487332117816e-11	-8.5727976e-08	-2.6469005e-08	0.9764662	-1.9732996e-17	0.2190281
2.7533457433649235e-11	-6.893793e-08	-7.479799e-08	0.9609356	-1.9641392e-17	0.20680015
3.00029251056051e-11	-3.4403122e-08	-1.002135e-07	0.93048614	-1.974791e-17	0.21954897
3.2521601748866074e-11	-7.2427625e-10	-1.0692951e-07	0.8939423	-1.99178e-17	0.23221199
3.504022958082172e-11	5.5044996e-08	-7.571979e-08	0.86427003	-2.0043356e-17	0.23110397
3.7509479719912326e-11	9.6197056e-08	-3.91603e-08	0.84336865	-2.0125053e-17	0.21266364
4.0027857914229346e-11	1.10913035e-07	-1.5565767e-08	0.8282148	-2.0171739e-17	0.20840625
4.254585849527108e-11	1.0870728e-07	3.8436023e-09	0.8181735	-2.0189707e-17	0.21050434
4.501460760116708e-11	9.68843e-08	2.1851744e-08	0.81248224	-2.0191351e-17	0.213022
4.7532815566562994e-11	7.967039e-08	3.753891e-08	0.81004363	-2.0186395e-17	0.21509944
5.000166162635442e-11	5.9950324e-08	4.7448324e-08	0.81018203	-2.018067e-17	0.21588746
5.251983124811498e-11	4.15142e-08	5.051827e-08	0.8122987	-2.0176532e-17	0.21610105
5.503796199886987e-11	2.7818793e-08	4.6221995e-08	0.81578845	-2.0174745e-17	0.21584126
5.750673696174465e-11	1.8213901e-08	3.884549e-08	0.8200423	-2.0175041e-17	0.21767405
6.002488549467317e-11	1.3728328e-08	3.0917544e-08	0.8249128	-2.0176876e-17	0.21821958
