# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.0864144e-09	7.2427625e-10	0.9795482	-2.0725794e-17	0.26631618
2.5186029711914083e-12	-8.724237e-10	-2.1728288e-09	0.9863764	-2.0726724e-17	0.32828316
5.048669325369937e-12	5.5966803e-10	-2.6995752e-09	0.98968035	-2.0714675e-17	0.43339932
7.52364659724419e-12	1.7119257e-09	-1.7119257e-09	0.99118215	-2.0704261e-17	0.57395744
1.004644363210419e-11	1.8436124e-09	9.876495e-11	0.9919117	-2.0698406e-17	0.7117184
1.2518515131386664e-11	8.888845e-10	1.1193361e-09	0.99234074	-2.0696883e-17	0.8519977
1.5038962861243098e-11	-4.115206e-10	1.2510226e-09	0.9927605	-2.0699674e-17	1.0633695
1.750336723824793e-11	-2.1004011e-08	1.4617212e-08	0.9939494	-2.0962148e-17	0.08880443
2.0035418236845734e-11	-1.043822e-08	9.547279e-10	0.99425566	-2.1006235e-17	0.08881249
2.2511927817755357e-11	-2.3374371e-09	-2.3703588e-09	0.9942887	-2.1007522e-17	0.08880913
2.5034399107597014e-11	4.9999754e-10	-6.58433e-10	0.9942937	-2.1007626e-17	0.08880375
2.750638411981658e-11	5.555528e-10	-2.6337318e-10	0.99428767	-2.100765e-17	0.08880644
3.002715440652617e-11	4.6501827e-10	0	0.99427986	-2.1007653e-17	0.08880375
3.254726678174333e-11	4.4855747e-10	-3.950598e-10	0.99427515	-2.1007656e-17	0.0888051
3.5016789486111984e-11	5.308616e-10	-2.6337318e-10	0.9942759	-2.1007656e-17	0.08879973
3.753561921041437e-11	1.938262e-09	0	0.9942778	-2.1007658e-17	0.08880241
4.0005040811022465e-11	1.6584281e-09	1.316866e-09	0.9942811	-2.1007656e-17	0.0888051
4.2523821208718356e-11	1.2304466e-09	1.5802392e-09	0.99428254	-2.1007656e-17	0.08880107
4.504261176533957e-11	-6.5843296e-11	1.7119257e-09	0.9942809	-2.1007658e-17	0.08880375
4.751201171141325e-11	-1.4238613e-09	3.950598e-10	0.9942795	-2.1007653e-17	0.08880308
5.003079238135839e-11	7.407371e-11	-7.901196e-10	0.9942795	-2.100766e-17	0.08880174
5.2500176491847025e-11	1.5884696e-09	2.6337318e-10	0.99427986	-2.1007655e-17	0.08880107
5.501895265461904e-11	2.7983402e-10	5.2674637e-10	0.99427986	-2.100766e-17	0.08880174
