# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	3.6831094e-10	5.5966803e-10	0.99555624	-1.2884941e-16	0.65445405
2.6035925306409433e-12	-2.6337318e-10	6.58433e-10	0.9914215	-1.2866978e-16	0.5835141
5.186858368777082e-12	-1.3497876e-09	1.975299e-10	0.9857173	-1.2806447e-16	0.568197
7.639522544738872e-12	-3.4896948e-09	-3.7201462e-09	0.9790902	-1.2667466e-16	0.599497
1.012948542144342e-11	-1.4485525e-09	-1.3432032e-08	0.96488714	-1.2379933e-16	0.58201253
1.2512570087877304e-11	-7.242763e-09	-2.5744729e-08	0.9255373	-1.218625e-16	0.36155787
1.5007484859051048e-11	1.1259204e-08	-4.2798142e-08	0.87077904	-1.1854958e-16	0.51170564
1.765787035625505e-11	-1.3774418e-07	1.356372e-07	0.80126864	-1.1523207e-16	0.5468713
2.008008251078378e-11	-1.4854907e-06	1.3497876e-08	0.72749346	-1.1813636e-16	0.27223092
2.2532939983015064e-11	-3.331671e-07	-4.2374113e-06	0.6594112	-1.1497302e-16	0.38754335
2.5034516185512008e-11	1.0644228e-05	-4.609031e-06	0.6095508	-1.080264e-16	0.6985182
2.7608584925639593e-11	1.9953152e-06	5.2311843e-06	0.5199465	-1.1522114e-16	0.6487118
3.015270182948e-11	8.170001e-06	5.027465e-06	0.4879288	-1.1928711e-16	0.67602533
3.252167653904309e-11	7.733098e-06	3.9619886e-06	0.47822875	-1.200597e-16	0.6531261
3.527402636530317e-11	5.450208e-06	3.4644108e-06	0.47134292	-1.203674e-16	0.624622
3.767930036032206e-11	3.4721722e-06	2.8507513e-06	0.46659422	-1.204968e-16	0.6084441
4.010505501932761e-11	1.9697186e-06	2.0833477e-06	0.4624139	-1.2057944e-16	0.5905021
4.27930158203201e-11	9.504645e-07	1.3199606e-06	0.45834115	-1.206385e-16	0.5742123
4.5202706473932144e-11	4.6445038e-07	8.4829213e-07	0.45517543	-1.2067059e-16	0.57137626
4.758577306896963e-11	1.9897844e-07	5.7843334e-07	0.45249802	-1.2068823e-16	0.5678148
5.0291571745944785e-11	9.38267e-10	4.210185e-07	0.44999042	-1.2069689e-16	0.5638326
5.267951334952244e-11	-1.3917627e-07	3.300066e-07	0.44821256	-1.2069842e-16	0.56060874
5.508284606159598e-11	-2.49793e-07	2.3871488e-07	0.44678634	-1.2069689e-16	0.5579552
5.777217472522272e-11	-3.2136467e-07	1.29415e-07	0.4455667	-1.2069345e-16	0.5557405
6.017212209881308e-11	-3.356362e-07	4.069116e-08	0.44476065	-1.2068987e-16	0.5543454
6.256377336593858e-11	-3.131672e-07	-2.5810573e-08	0.44417414	-1.2068633e-16	0.5536118
6.526074823234575e-11	-2.6625383e-07	-6.860871e-08	0.44372723	-1.2068261e-16	0.5530934
6.765302610490906e-11	-2.2189191e-07	-8.332469e-08	0.44348612	-1.2067967e-16	0.5528801
7.004893107047655e-11	-1.8232832e-07	-8.549752e-08	0.4433585	-1.2067715e-16	0.552846
7.274152641297694e-11	-1.4579352e-07	-8.111894e-08	0.4433163	-1.2067484e-16	0.55295503
7.513649567382056e-11	-1.1762082e-07	-7.6049005e-08	0.4433444	-1.2067324e-16	0.553133
7.752999106952347e-11	-9.181848e-08	-7.0616935e-08	0.4434156	-1.2067203e-16	0.55335
8.022346088178639e-11	-6.493795e-08	-6.2156076e-08	0.44352823	-1.2067108e-16	0.5536118
8.261688260819441e-11	-4.3555342e-08	-5.198328e-08	0.4436431	-1.2067054e-16	0.5538437
8.501034225169508e-11	-2.6271476e-08	-4.1975103e-08	0.44376177	-1.206702e-16	0.5540636
8.77031891298783e-11	-1.2065784e-08	-2.9629483e-08	0.44389176	-1.2067005e-16	0.554291
9.009636298246515e-11	-3.1934e-09	-2.0016362e-08	0.4439995	-1.2067006e-16	0.5544689
9.278916982863223e-11	3.1604783e-09	-1.1901176e-08	0.44410834	-1.2067017e-16	0.5546396
9.518207224980377e-11	6.765399e-09	-5.9258967e-09	0.44419223	-1.2067033e-16	0.55476767
9.757550323531587e-11	9.415592e-09	-1.0864144e-09	0.4442633	-1.2067051e-16	0.554874
1.0026765010063938e-10	1.10122915e-08	2.7654186e-09	0.4443285	-1.2067076e-16	0.5549704
1.026607638044674e-10	1.1193361e-08	5.629602e-09	0.44437408	-1.2067093e-16	0.5550359
1.050536503209696e-10	1.0864144e-08	7.0781545e-09	0.44440943	-1.2067115e-16	0.5550852
1.077459511719824e-10	1.0139868e-08	7.868274e-09	0.4444385	-1.2067134e-16	0.5551249
1.1013848646716683e-10	8.658394e-09	7.7695095e-09	0.44445628	-1.2067153e-16	0.55514795
1.1253157914704055e-10	7.687205e-09	7.5719795e-09	0.44446796	-1.2067165e-16	0.5551619
1.152231778732089e-10	6.7818595e-09	6.5843295e-09	0.44447517	-1.2067178e-16	0.55516714
1.1761599040764042e-10	5.9258967e-09	5.8271317e-09	0.44447762	-1.2067189e-16	0.5551656
1.2000878630542625e-10	5.2180815e-09	4.8065605e-09	0.44447726	-1.2067194e-16	0.5551589
1.227003033146477e-10	4.3785793e-09	4.609031e-09	0.4444747	-1.2067202e-16	0.5551487
1.250931116118357e-10	3.8847547e-09	3.753068e-09	0.44447103	-1.2067205e-16	0.55513686
1.2778445735410775e-10	3.1110958e-09	3.4238514e-09	0.4444662	-1.2067207e-16	0.5551215
1.3017722732909708e-10	2.6666536e-09	2.5020452e-09	0.44446158	-1.2067209e-16	0.55510736
1.325694664644938e-10	2.6501927e-09	1.9423774e-09	0.44445705	-1.2067209e-16	0.5550942
1.3526121601523898e-10	2.1892896e-09	1.2839443e-09	0.44445226	-1.2067211e-16	0.5550808
1.3765344391961237e-10	2.3703588e-09	8.888845e-10	0.44444844	-1.206721e-16	0.5550693
1.400458254673405e-10	2.3868196e-09	7.571979e-10	0.4444451	-1.2067209e-16	0.5550595
1.4273738008912142e-10	2.1810591e-09	1.0534927e-09	0.44444185	-1.206721e-16	0.555048
1.451296836241252e-10	2.0411421e-09	3.950598e-10	0.44443953	-1.2067209e-16	0.5550404
1.4752231504678836e-10	1.7448474e-09	9.876494e-10	0.44443768	-1.2067207e-16	0.5550344
1.5021335784167275e-10	1.7119257e-09	4.609031e-10	0.4444361	-1.2067206e-16	0.55502963
1.5260583969384692e-10	2.0905246e-09	-1.3168659e-10	0.44443503	-1.2067205e-16	0.55502576
1.5529707923519324e-10	2.2386721e-09	8.230412e-11	0.4444342	-1.2067205e-16	0.55502176
1.5768952935807789e-10	2.2469024e-09	1.6460824e-10	0.44443378	-1.2067205e-16	0.55501974
1.6008128120071552e-10	2.2880546e-09	3.6213813e-10	0.44443348	-1.2067205e-16	0.5550189
1.6277311704885187e-10	2.5267366e-09	-1.6460824e-10	0.4444334	-1.2067203e-16	0.55501926
1.6516482889502907e-10	2.6255014e-09	4.609031e-10	0.44443336	-1.2067205e-16	0.555019
1.675573460033655e-10	2.0740638e-09	5.925897e-10	0.4444335	-1.2067203e-16	0.55501914
1.7024867041744448e-10	2.1892896e-09	2.1399071e-10	0.44443363	-1.2067205e-16	0.555019
1.72640810620652e-10	1.9999902e-09	2.6337318e-10	0.4444338	-1.2067203e-16	0.55502003
1.7503305063187462e-10	2.0082205e-09	3.950598e-10	0.44443402	-1.2067203e-16	0.55502105
1.7772417946813374e-10	1.679004e-09	2.6337318e-10	0.44443426	-1.2067205e-16	0.5550226
1.801167195962813e-10	2.156368e-09	5.925897e-10	0.44443443	-1.2067203e-16	0.5550233
1.8250874393554888e-10	2.1728288e-09	3.6213813e-10	0.44443455	-1.2067203e-16	0.55502367
1.852000093299614e-10	1.9835293e-09	5.5966803e-10	0.44443473	-1.2067203e-16	0.5550252
1.8759213375498127e-10	2.436202e-09	7.078154e-10	0.44443485	-1.2067202e-16	0.5550263
1.9028344859388806e-10	2.296285e-09	1.1522577e-10	0.44443497	-1.2067202e-16	0.55502695
1.9267557305302318e-10	2.4526627e-09	7.901196e-10	0.44443506	-1.2067202e-16	0.55502695
1.9506783677183393e-10	2.436202e-09	8.5596286e-10	0.44443512	-1.2067202e-16	0.55502725
1.9775878084198737e-10	2.5020452e-09	1.1522577e-09	0.44443512	-1.2067202e-16	0.55502874
