# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	4.176934e-10	1.3168659e-10	0.99555576	-1.288494e-16	0.6543924
2.599032167607388e-12	2.1399071e-10	5.925897e-10	0.99266446	-1.2874072e-16	0.57046586
5.182971023663467e-12	-3.6213813e-10	3.292165e-10	0.98907596	-1.2842344e-16	0.56796247
7.684538423978821e-12	-5.925897e-10	-1.316866e-09	0.98554075	-1.2780359e-16	0.57882804
1.004612783025878e-11	2.9629483e-09	-2.716036e-09	0.98220956	-1.2677244e-16	0.62894714
1.2660197172348062e-11	1.0337398e-08	5.267464e-09	0.9751476	-1.2483504e-16	0.65845597
1.5059064811455683e-11	-2.399165e-09	2.7390811e-08	0.95333064	-1.2294381e-16	0.65023893
1.7567944376384042e-11	-5.5769274e-08	1.7909377e-08	0.9024311	-1.2279487e-16	0.416895
2.01057704259833e-11	-8.5596284e-08	-5.590096e-08	0.8389525	-1.2161331e-16	0.33090392
2.259062262902736e-11	4.1645887e-08	-1.6487162e-07	0.7720091	-1.1721538e-16	0.46637365
2.5179121636671182e-11	1.394561e-07	-3.595044e-07	0.6883417	-1.0778592e-16	0.6920261
2.7612472651451592e-11	-8.023006e-08	-3.712245e-07	0.5987105	-1.07884965e-16	0.7507209
3.017833007169979e-11	2.5217982e-08	-5.4781623e-08	0.5494206	-1.149987e-16	0.55203736
3.2705369395483915e-11	4.2995673e-08	5.7349514e-08	0.53160655	-1.146975e-16	0.58919317
3.504228625810489e-11	-1.158842e-08	5.7020294e-08	0.52046794	-1.1450158e-16	0.6398185
3.7747818446059006e-11	-6.8337116e-08	4.0485396e-08	0.5108948	-1.1515806e-16	0.68443894
4.016768933697134e-11	-7.95387e-08	3.0222072e-08	0.5045137	-1.1632842e-16	0.70101124
4.257715351311007e-11	-5.430426e-08	2.6798222e-08	0.4992019	-1.1760047e-16	0.6941728
4.527107712464849e-11	-1.2855904e-08	2.4691236e-08	0.49370268	-1.1876346e-16	0.67711556
4.7671172475694484e-11	1.4123387e-08	2.3242684e-08	0.48894686	-1.1948383e-16	0.65785265
5.005892867393158e-11	2.6320858e-08	2.1201542e-08	0.48436007	-1.1995768e-16	0.6329142
5.276075287553237e-11	2.793402e-08	1.758016e-08	0.47944227	-1.202931e-16	0.60783195
5.515122181201941e-11	2.4057496e-08	1.3432032e-08	0.47540903	-1.2047587e-16	0.5966976
5.7551836419096794e-11	1.9785912e-08	9.448513e-09	0.47170538	-1.2059195e-16	0.58749634
6.024083190750444e-11	1.6279754e-08	6.5184866e-09	0.46799704	-1.2067164e-16	0.5770167
6.263868134558713e-11	1.3687176e-08	4.938247e-09	0.4650852	-1.2071444e-16	0.567051
6.502888760630932e-11	1.1753029e-08	4.0822843e-09	0.4625429	-1.2074036e-16	0.56253844
6.772528569144e-11	9.876494e-09	2.897105e-09	0.46008557	-1.2075682e-16	0.5634541
7.011635854728765e-11	7.818891e-09	3.3415473e-09	0.458244	-1.2076425e-16	0.56309164
7.25124861690234e-11	6.3209566e-09	3.473234e-09	0.45668662	-1.2076748e-16	0.5624863
7.520316657169744e-11	4.7407176e-09	2.8312617e-09	0.4552451	-1.2076801e-16	0.56144917
7.759823901058613e-11	3.7036854e-09	2.3374371e-09	0.4542041	-1.2076689e-16	0.5606766
8.02894732947725e-11	2.897105e-09	1.876534e-09	0.4532705	-1.2076466e-16	0.55994534
8.268370267641773e-11	2.9629483e-09	9.218062e-10	0.45262003	-1.207623e-16	0.55933523
8.507633850440219e-11	2.8312617e-09	9.218062e-10	0.45211315	-1.2075986e-16	0.5588119
8.776884854715262e-11	2.5020452e-09	1.2510226e-09	0.45168564	-1.2075721e-16	0.5583465
9.01616180379737e-11	2.534967e-09	8.888845e-10	0.4514104	-1.207551e-16	0.5580421
9.255472175298573e-11	2.534967e-09	8.888845e-10	0.4512148	-1.2075322e-16	0.55786794
9.524668083207609e-11	2.1728288e-09	4.938247e-10	0.45107013	-1.2075142e-16	0.55780435
9.763969175495008e-11	2.436202e-09	-1.975299e-10	0.45099327	-1.2075012e-16	0.5577842
1.00032395493846e-10	2.8065705e-09	1.975299e-10	0.45095316	-1.2074905e-16	0.55779135
1.0272457129036901e-10	2.617271e-09	7.2427625e-10	0.45094013	-1.207481e-16	0.55782336
1.0511730150214479e-10	2.518506e-09	5.7612887e-10	0.4509488	-1.2074747e-16	0.55786467
1.075102793888584e-10	2.3868196e-09	4.938247e-10	0.45096993	-1.20747e-16	0.55791295
1.102021744452311e-10	1.958838e-09	6.58433e-10	0.45100278	-1.2074661e-16	0.5579691
1.1259500372402422e-10	2.1892896e-09	1.6460824e-10	0.4510359	-1.2074639e-16	0.55801827
1.1528686390335625e-10	2.0905246e-09	5.5966803e-10	0.45107418	-1.2074624e-16	0.55806917
1.176795315927978e-10	2.353898e-09	3.2921648e-11	0.45110714	-1.2074616e-16	0.5581084
1.200723685185088e-10	2.4855844e-09	5.925897e-10	0.45113793	-1.2074615e-16	0.55814207
1.2276416894971925e-10	2.757188e-09	1.6460824e-10	0.45116895	-1.2074616e-16	0.5581715
1.2515657803477815e-10	2.5678886e-09	6.255113e-10	0.45119298	-1.207462e-16	0.55819273
1.2754955928997734e-10	2.2057505e-09	6.9135464e-10	0.45121357	-1.2074623e-16	0.55820864
